File,Chunk_Index,Transcription
SandalWoodNewsStories_287.mp3,0,ಯಮಸ್ತಾರ ಆತ್ಮೆಯ ರೈತರಿಗೆ ಸಂಚಿ ಕಿಗನು ಗಳಿಂದೆ ಯಲ್ಲರಿಗು ಸಾಗತ ಎಂದು ನಾವು ಬಂದಿದಿವೆ ಕೊಟ್ಟಲಿಗೆ ಗ್ರಾಮಕ್ಕೆ ಸ್ರಗಂದಾದ ಗೆಡೆಗಳ ಮಾಹಿತಿಯನ್ನು ಗೆದುಕೊಳಲು ಬಂದಿದೇವೆ ಇವತ್ತಿನ ವರೆಗೆ ಪರಸ್ವಿತಿಯಾಗಿತ್ತುಾಂದ್ರೆ ಒಡ್ಡಿನ ಮೇಲೆಯೇ ಹಂದೆರಡು ಸ್ರೀಗಂದ ಗಿಡಗಳು ಇದ್ದರೂ ಸಹಿತ ಅದನು ಕಾಳರು ಕಳ್ಳತನದಿಂದ ಯಾವಾಗ ಕಡೆದುಕೊಂಡು ಹುತ್ತಾರೆಂದು ಹೊತ್ತಾಹುವುದಿಲ್ಲ ಆದರೆ ಬೆಳಗಾ ಜಿಲ್ಲೆಯ ಹತುನಿಟ ಅಲುಕದಲ್ಲಿಯ ಕೊಟ್ಟಲಿಗೆ ಗ್ರಾಮದ ಹಬ್ಬ ರೈತರು ಎಲ್ಲ ಪಾರಂಪಾರಿಕ ಬೆಳೆಗಳನ್ನು ಬಿಟ್ಟು ಸ್ರಿಗಂನದ ಬೆಳವಣಿಗೆ ಮಾಡಿದ್ದಾರೆ ಅದು ಹತ್ತು ಎಕರದಲ್ಲಿ ಆ ಹಣ ಮರೈತರ ಪರಿಚೆಯನು ಮಾಡಿಕೊಳ್ಳನವಣ್ಣಿ ಮತ್ತು ವರು ಸ್ರಿಗಾಂನದ ಎಲ್ಲ ಮಾಹಿತಿಯನ್ನು ತೆಗೆದುಕೊಳ್ಳನ್ನ ವಣ್ಣಿ ನಾವು ಮೊದಲು ರೈತರ ಪರಿಚಯನ್ನು ಮಾಡಿಕೊಳ್ಳೋನ ಬಣ್ಣಿಮನ್ದು ಸುರವು ಸೂದರ ಯುರೂಪ ಯಲ್ಲಿ ಗಪದಿಷಿಂದು ನೊಂದು ಪುರಾಪುರು ಕೊಟ್ಟಲಿದೆ
SandalWoodNewsStories_287.mp3,1,ಅದನಿತ ಲೋಕ ಬಳಗೊಂಜಲ ಸುಮಾರುನಾ ಪರಿಸಿ ಮಾಡಲಕತ್ತೆ
SandalWoodNewsStories_287.mp3,2,ನಮ್ಮ ಹೂರೋಜೋರಿಕರ್ಷು ಮರ್ದು ೌರ್ನಂತ್ರ ನಾೌುಕರ್ಸಮರ ಕೊತ್ಬಂದು ಸರಿಗನ್ನದ ಗೆಡೆಗಳ ವೆಳೆವಣಿಗೆ ಮಾಡುವುದು ನಿಮಗೆಯೇಗೆ ವಿಚಾರವಂತು
SandalWoodNewsStories_287.mp3,3,ಈದನಾವು ಸುರಿಗಂದ ಬೆಳಿದಕ್ಕ ತೊನ್ರ
SandalWoodNewsStories_287.mp3,4,ಅದು ತಾಂತನ ಬಲ್ಲಗೈಗೀತರೆ
SandalWoodNewsStories_287.mp3,5,ಯಾಕಪುಂದ್ರ ಬ್ಯಾರಿಯೇ
SandalWoodNewsStories_287.mp3,6,ತ್ಒಕ್ಕಲ್ತನು ಮೊಡುದ್ರೆಗ ಹನಿಗೆ ದ್ರಾಕ್ಷಿಠಾಲಂ್ರಿಯ ಮರುಗುತ್ಪತ್ತಿದ್ದಿನು
SandalWoodNewsStories_287.mp3,7,ಒದು ಲೇವರ್ ಪಗರ್ ಜಾಸ್ತ್ರೀಯಾಲಕ್ಕಿತ್ತು ಗುವಾಬ್ಬರೂಪಗಾರಿದ ಹಗುಗಾಬರೇಟ್ ಯರ್ತ್ಯಾಲಯತ್ತ ಔಷಧ್ ್ಲಿವೆಷ್ ಡ ಚಾಸ್ತ್ಯಾಲಾಕಿತ್ತು
SandalWoodNewsStories_287.mp3,8,ವಿಗಾ ಯನವಷಟ್ ಮು ಟಲಾಕ್ಯಾಗ್ರ
SandalWoodNewsStories_287.mp3,9,ಒರ್ಕುಟ್ಟಾಗಲಾದ ಪರು ಸ್ತಿತಿ ಒಳಗೆ
